,text,label
0,and bright in heaven's jewelled crown,1
1,that in their lives such deadly fray they ne'er had seen before.,-1
2,"god prosper long our noble king,",1
3,"of night, and all things now retir'd to rest",0
4,and breaths were gathering sure,0
5,"thou too art victor, rochambeau!",1
6,case dey nevah tech a drouf.,0
7,yet was this period my time of joy:,1
8,"""sir, i have dreamed of you. i pray you, sir,",0
9,"our present, our past, our to be,",0
10,"and when they reached the house,",0
11,"i would don my hose of homespun gray,",0
12,"nightly down the river going,",0
13,"he bent and kissed her head, warm, shining, soft,",1
14,"you shall not find the sons of atreus here,",0
15,"and raised their eyes above,",0
16,in some lady's gyahden.,0
17,so runs the perfect cycle of the year.,1
18,it will be spring again.,0
19,swifter far than youth's delight--,1
20,--the drones of the community; they feed,0
21,"in every health we drink, my boys,",0
22,"let dat cradle swing,",0
23,and friendship's tenderest sympathy,1
24,"ah, what a pang of aching sharp surprise",-1
25,"from his own tripod, and his holy tree;",0
26,that by nor sound nor word,0
27,"and she passed out between the blessed things,",2
28,"and leave the words unspoken i yet have will to speak.""",0
29,"to rise upon some other shore,",0
30,who fishes in the frog-pond still?,0
31,"and then, if it should be",0
32,"reasoning to admiration, and with mee",1
33,"our hope, our remembrance, our trust,",1
34,my breast was calm as summer's sea,1
35,"to men below,",0
36,the red sword sealed their vows!,2
37,tis that one told us it was life. 'for not,0
38,"""stella, see that grasshopper",0
39,"and match, and bend, and thorough-blend, in her colossal form and face.",0
40,"plucked from the death, wilt thou repay me thus?",2
41,"where the moloch of slavery sitteth on high,",-1
42,"a different man was brother timothy,",0
43,...    and call to him.,0
44,"so neighbour'd to him, and yet so unseen",0
45,in just the dress his century wore;,0
46,and circling wonders fill the vast profound.,1
47,"for her this rhyme is penned, whose luminous eyes,",1
48,our frowning foemen of the night,-1
49,his silent sandals swept the mossy green;,0
50,"you didn't stop for fuss,--",0
51,you heard the news from vincent carrington.,0
52,how many times we must have met,0
53,"and twitter, and again are still.",0
54,"what's de use o' gittin' mopy,",0
55,"and tender thoughts, and prayers, remains,",1
56,tis the chronicle of art.,0
57,"the former, as the slackenâd reins he drew",0
58,"seed-field of simpler manners, braver truth,",1
59,"by death's frequented ways,",-1
