"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"1","Aatrox","Fighter","TOP","S",57.63,"-31.86",0.4768,0.9163,0.0662,0.1198,1.77,"13_1"
"2","Ahri","Mage","MID","S",57.18,"4.55",0.495,0.9465,0.0581,0.0173,2.58,"13_1"
"3","Akali","Assassin","MID","S",65.49,"4.33",0.4841,0.7574,0.0811,0.1302,2.37,"13_1"
"4","Akali","Assassin","TOP","C",39.63,"-1.51",0.4592,0.235,0.0255,0.1302,2,"13_1"
"5","Akshan","Marksman","MID","A",49.39,"0.34",0.5162,0.6603,0.0275,0.0379,2.26,"13_1"
"6","Akshan","Marksman","TOP","B",44.58,"2.61",0.5169,0.2556,0.0101,0.0379,2,"13_1"
"7","Alistar","Tank","SUPPORT","B",43.21,"-1.03",0.5009,0.9595,0.0267,0.006,2.46,"13_1"
"8","Amumu","Tank","JUNGLE","S",57.41,"16.78",0.5287,0.4907,0.0444,0.052,2.82,"13_1"
"9","Amumu","Tank","SUPPORT","A",52.62,"1.09",0.5239,0.5005,0.0409,0.052,2.18,"13_1"
"10","Anivia","Mage","MID","S",59.33,"9.21",0.5322,0.8604,0.036,0.0356,3.03,"13_1"
"11","Annie","Mage","MID","C",39.56,"-4.78",0.4913,0.7496,0.0129,0.0037,2.3,"13_1"
"12","Annie","Mage","SUPPORT","D",26.8,"0.67",0.47,0.1305,0.0021,0.0037,2.27,"13_1"
"13","Aphelios","Marksman","ADC","D",24.82,"-4.83",0.466,0.9677,0.0348,0.0051,1.95,"13_1"
"14","Ashe","Marksman","SUPPORT","S",67.31,"18.82",0.5002,0.5573,0.0875,0.0603,2.44,"13_1"
"15","Ashe","Marksman","ADC","B",46.2,"-4.93",0.5027,0.4222,0.0649,0.0603,2.43,"13_1"
"16","Aurelion Sol","Mage","MID","C",41.32,"-1.21",0.5042,0.8799,0.0071,0.0027,2.54,"13_1"
"17","Azir","Mage","MID","C",36.92,"-0.97",0.4631,0.9128,0.024,0.0051,2.12,"13_1"
"18","Bard","Support","SUPPORT","A",48.9,"-0.29",0.503,0.9718,0.0325,0.0048,3.1,"13_1"
"19","Bel'Veth","Fighter","JUNGLE","A",49.9,"-3.44",0.5094,0.943,0.0389,0.082,2.39,"13_1"
"20","Blitzcrank","Tank","SUPPORT","God",70.3,"3.05",0.5175,0.9728,0.0749,0.1825,2.46,"13_1"
"21","Brand","Mage","SUPPORT","B",44.57,"-7.24",0.5072,0.7674,0.0332,0.0403,1.85,"13_1"
"22","Brand","Mage","MID","C",39.54,"-2.39",0.5069,0.1584,0.0074,0.0441,2.04,"13_1"
"23","Braum","Support","SUPPORT","C",38.3,"-2.6",0.4889,0.9855,0.0171,0.0027,2.68,"13_1"
"24","Caitlyn","Marksman","ADC","God",93.3,"1.35",0.5037,0.9612,0.2028,0.1856,2.3,"13_1"
